"ID","Title"
"Al-Qaeda in the Islamic Maghreb (AQIM)","Al-Qaeda in the Islamic Maghreb (AQIM)"
"Ansaru","Ansaru"
"Movement for Unity and Jihad in West Africa (Mujao)","Movement for Unity and Jihad in West Africa (Mujao)"
"Abu Muhammad Faction","Abu Muhammad Faction"
"Abu Muhammed Shura","Abu Muhammed Shura"
"Nigerian Taliban","Nigerian Taliban"
"Harakat Ansar al-Dine","Harakat Ansar al-Dine"
"All Nigeria People's Party","All Nigeria People's Party"
"Congress for Progressive Change (CPC)","Congress for Progressive Change (CPC)"
"Abubakar Shekau Faction","Abubakar Shekau Faction"
"Abubakar Shekau's Shura","Abubakar Shekau's Shura"
"BH Shurra Committee","BH Shurra Committee"
"Albarnawai Kidnapping Squad","Albarnawai Kidnapping Squad"
"Nigerian Taliban Shura","Nigerian Taliban Shura"
"Katibat al-Mulathimin","Katibat al-Mulathimin"
"al-Murabitun","al-Murabitun"
"Taliban","Taliban"
"Mamman Nur Faction","Mamman Nur Faction"
"Al-Qaeda","Al-Qaeda"
"Central Mosque in Douala, Camaroon","Central Mosque in Douala, Camaroon"
"Al-Shabaab","Al-Shabaab"
