Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994,1995,1996,1997,1998,1999,2000_1,2000_2,2001_1,2001_2,2002_1,2002_2,2003_1,2003_2,2004_1,2004_2,2005_1,2005_2,2006_1,2006_2,2007_1,2007_2
67,3000,,3001,1985-1989,2005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3000,,3002,1985-1989,2005,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3000,,3003,1985-1989,2005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3000,,3004,1985-1989,2005,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3001,,3000,1985-1989,2005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3001,,3002,1985-1989,2005,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3001,,3003,1985-1989,2005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3001,,3004,1985-1989,2005,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3002,,3000,1985-1989,2005,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3002,,3001,1985-1989,2005,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3002,,3003,1985-1989,2005,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3002,,3004,1985-1989,2005,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
67,3003,,3000,1985-1989,2005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3003,,3001,1985-1989,2005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3003,,3002,1985-1989,2005,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3003,,3004,1985-1989,2005,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3004,,3000,1985-1989,2005,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3004,,3001,1985-1989,2005,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
67,3004,,3002,1985-1989,2005,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0
67,3004,,3003,1985-1989,2005,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0
